date,vwretd,ewretd,sprtrn
2018-03-13,-0.00618,-0.004327,-0.006364
2018-03-14,-0.004591,-0.002565,-0.005724
2018-03-15,-0.002203,-0.004407,-0.000782
2018-03-16,0.002435,0.005377,0.001703
2018-03-19,-0.012909,-0.009042,-0.014204
2018-03-20,0.001338,-0.001227,0.001482
2018-03-21,0.000421,0.005376,-0.001844
2018-03-22,-0.023891,-0.015429,-0.025163
2018-03-23,-0.019286,-0.01346,-0.020967
2018-03-26,0.024231,0.011328,0.027157
2018-03-27,-0.016562,-0.012416,-0.017276
2018-03-28,-0.002589,-0.00321,-0.002917
2018-03-29,0.013458,0.009276,0.01377
2018-04-02,-0.021354,-0.016113,-0.022337
2018-04-03,0.011507,0.006839,0.012615
2018-04-04,0.010361,0.008931,0.011567
2018-04-05,0.007405,0.006964,0.006863
2018-04-06,-0.019971,-0.012568,-0.02192
2018-04-09,0.002849,0.000648,0.003337
2018-04-10,0.016406,0.013854,0.016727
2018-04-11,-0.003796,0.001802,-0.005525
2018-04-12,0.006932,0.004143,0.008251
2018-04-13,-0.00307,-0.002309,-0.002887
2018-04-16,0.008002,0.004759,0.008109
2018-04-17,0.010291,0.0079,0.010662
2018-04-18,0.001626,0.003093,0.000831
2018-04-19,-0.005395,-0.004882,-0.005726
2018-04-20,-0.007464,-0.005071,-0.008537
2018-04-23,-0.000446,-0.00269,5.6e-05
2018-04-24,-0.011375,-0.00532,-0.013381
2018-04-25,0.000773,-0.00146,0.001837
2018-04-26,0.009015,0.004886,0.010434
2018-04-27,0.000715,0.000995,0.001114
2018-04-30,-0.007258,-0.004782,-0.008188
2018-05-01,0.002191,0.001574,0.002549
2018-05-02,-0.005574,0.00289,-0.007206
2018-05-03,-0.002256,-0.003678,-0.002254
2018-05-04,0.012299,0.008924,0.012811
2018-05-07,0.004128,0.004645,0.003458
2018-05-08,0.000407,0.001064,-0.000266
2018-05-09,0.008609,0.004881,0.009682
2018-05-10,0.008627,0.00479,0.009371
